,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date,CRSDepHour,CRSArrHour
465,RNO,SFO,192.0,6,25,2,Winter,2023-07-17 06:00:00,360,Morning,61.0,0701,OO,3,4,7,8,1,1,8.0,6.0,Slightly delayed,2006-02-25,6,7
466,SLC,LAX,590.0,7,19,3,Spring,2023-07-17 19:30:00,1170,Evening,122.0,2032,DL,4,4,8,14,1,2,33.0,36.0,Moderately delayed,2006-03-19,19,20
467,LGA,RDU,431.0,4,7,12,Winter,2023-07-17 12:40:00,760,Afternoon,100.0,1420,MQ,3,3,6,15,1,1,-1.0,-8.0,On-time,2006-12-07,12,14
468,FAT,LAS,258.0,4,16,11,Autumn,2023-07-17 14:40:00,880,Afternoon,80.0,1600,OO,2,4,6,14,1,2,-8.0,-9.0,On-time,2006-11-16,14,16
469,CVG,DEN,1069.0,2,31,10,Autumn,2023-07-17 20:55:00,1255,Evening,169.0,2144,DL,4,6,10,15,1,3,-6.0,5.0,Slightly delayed,2006-10-31,20,21
470,BOS,PHF,464.0,3,1,11,Autumn,2023-07-17 08:50:00,530,Morning,100.0,1030,FL,6,2,8,11,1,1,-3.0,-2.0,On-time,2006-11-01,8,10
471,MCI,SAN,1333.0,1,10,4,Spring,2023-07-17 19:20:00,1160,Evening,205.0,2045,WN,3,1,4,23,2,1,-5.0,11.0,Slightly delayed,2006-04-10,19,20
472,ICT,IAH,542.0,5,6,1,Winter,2023-07-17 11:35:00,695,Morning,110.0,1325,XE,3,5,8,13,1,3,-7.0,-19.0,On-time,2006-01-06,11,13
473,MCO,DTW,957.0,6,28,10,Autumn,2023-07-17 09:48:00,588,Morning,158.0,1226,NW,4,6,10,7,1,1,-7.0,-16.0,On-time,2006-10-28,9,12
474,DFW,ATL,732.0,5,19,5,Spring,2023-07-17 06:31:00,391,Morning,119.0,0930,AA,7,5,12,13,2,3,-5.0,0.0,On-time,2006-05-19,6,9
475,DEN,ATL,1199.0,6,22,4,Spring,2023-07-17 01:25:00,85,Night,156.0,0601,DL,6,5,11,15,1,3,-2.0,-7.0,On-time,2006-04-22,1,6
476,PHX,PHL,2075.0,2,6,6,Summer,2023-07-17 09:55:00,595,Morning,275.0,1730,US,3,4,7,18,2,2,-3.0,7.0,Slightly delayed,2006-06-06,9,17
477,HOU,SAT,192.0,3,20,12,Winter,2023-07-17 17:50:00,1070,Afternoon,55.0,1845,WN,4,3,7,12,1,1,83.0,80.0,Excessively delayed,2006-12-20,17,18
478,IAH,SAV,851.0,2,21,2,Winter,2023-07-17 19:35:00,1175,Evening,137.0,2252,XE,5,2,7,20,4,1,16.0,35.0,Moderately delayed,2006-02-21,19,22
479,ORD,CLT,599.0,6,28,1,Winter,2023-07-17 15:40:00,940,Afternoon,113.0,1833,US,11,4,15,12,1,1,67.0,63.0,Excessively delayed,2006-01-28,15,18
480,MCI,IAH,643.0,6,2,9,Autumn,2023-07-17 06:30:00,390,Morning,124.0,0834,XE,3,5,8,12,2,2,-7.0,-1.0,On-time,2006-09-02,6,8
481,ORD,MSY,837.0,2,26,9,Autumn,2023-07-17 20:20:00,1220,Evening,135.0,2235,AA,11,3,14,13,1,1,-5.0,-15.0,On-time,2006-09-26,20,22
482,BOS,CMH,640.0,4,28,12,Winter,2023-07-17 19:55:00,1195,Evening,130.0,2205,MQ,6,2,8,14,1,1,-5.0,-3.0,On-time,2006-12-28,19,22
483,AUS,HRL,273.0,6,12,8,Summer,2023-07-17 14:50:00,890,Afternoon,60.0,1550,WN,2,3,5,12,1,1,0.0,-2.0,On-time,2006-08-12,14,15
484,ORD,SPI,174.0,3,6,12,Winter,2023-07-17 13:20:00,800,Afternoon,65.0,1425,OO,11,3,14,14,1,1,2.0,-5.0,On-time,2006-12-06,13,14
485,EWR,TPA,998.0,7,15,1,Winter,2023-07-17 14:45:00,885,Afternoon,175.0,1740,CO,3,3,6,11,1,1,0.0,-13.0,On-time,2006-01-15,14,17
486,DAL,HOU,239.0,2,22,8,Summer,2023-07-17 08:30:00,510,Morning,55.0,0925,WN,3,4,7,20,1,1,11.0,8.0,Slightly delayed,2006-08-22,8,9
487,ORD,XNA,522.0,3,7,6,Summer,2023-07-17 18:20:00,1100,Evening,104.0,2004,MQ,11,2,13,16,1,1,10.0,-2.0,On-time,2006-06-07,18,20
488,ORD,AZO,122.0,1,30,1,Winter,2023-07-17 07:56:00,476,Morning,46.0,0942,MQ,11,3,14,18,3,1,-6.0,-5.0,On-time,2006-01-30,7,9
489,HOU,DAL,239.0,6,14,1,Winter,2023-07-17 07:30:00,450,Morning,55.0,0825,WN,4,3,7,12,1,1,0.0,-5.0,On-time,2006-01-14,7,8
490,ATL,MIA,595.0,6,20,5,Spring,2023-07-17 15:00:00,900,Afternoon,112.0,1652,DL,5,4,9,12,1,1,-4.0,-16.0,On-time,2006-05-20,15,16
491,CVG,MDT,429.0,6,28,10,Autumn,2023-07-17 15:00:00,900,Afternoon,82.0,1622,OH,4,1,5,7,1,1,0.0,3.0,Slightly delayed,2006-10-28,15,16
492,PNS,ATL,272.0,2,10,1,Winter,2023-07-17 18:20:00,1100,Evening,70.0,2030,FL,2,5,7,9,1,2,-10.0,-18.0,On-time,2006-01-10,18,20
493,BUR,LAS,223.0,1,1,5,Spring,2023-07-17 21:10:00,1270,Evening,60.0,2210,WN,2,4,6,17,1,2,0.0,0.0,On-time,2006-05-01,21,22
494,MCO,CLT,468.0,5,18,8,Summer,2023-07-17 07:00:00,420,Morning,93.0,0833,US,4,4,8,10,1,1,-4.0,-4.0,On-time,2006-08-18,7,8
495,ATL,ORD,606.0,3,26,7,Summer,2023-07-17 10:08:00,608,Morning,126.0,1114,UA,5,11,16,9,1,4,-1.0,-17.0,On-time,2006-07-26,10,11
496,SLC,FCA,532.0,1,17,7,Summer,2023-07-17 11:39:00,699,Morning,96.0,1315,EV,4,3,7,15,3,2,0.0,-2.0,On-time,2006-07-17,11,13
497,LAX,MDW,1750.0,4,16,3,Spring,2023-07-17 10:20:00,620,Morning,230.0,1610,WN,4,5,9,13,2,1,5.0,-17.0,On-time,2006-03-16,10,16
498,ORD,DCA,612.0,4,20,7,Summer,2023-07-17 16:05:00,965,Afternoon,114.0,1859,UA,11,3,14,13,2,1,229.0,210.0,Excessively delayed,2006-07-20,16,18
499,SAT,LAX,1210.0,5,6,10,Autumn,2023-07-17 12:35:00,755,Afternoon,180.0,1335,AA,3,4,7,17,1,3,0.0,12.0,Slightly delayed,2006-10-06,12,13
500,SAN,LAX,109.0,2,5,12,Winter,2023-07-17 12:50:00,770,Afternoon,53.0,1343,OO,1,4,5,11,1,2,0.0,-9.0,On-time,2006-12-05,12,13
501,PDX,ATL,2172.0,1,10,4,Spring,2023-07-17 23:00:00,1380,Evening,262.0,0622,DL,3,5,8,23,1,5,-6.0,-12.0,On-time,2006-04-10,23,6
502,MEM,TPA,656.0,7,3,12,Winter,2023-07-17 09:19:00,559,Morning,111.0,1210,NW,4,3,7,7,1,1,-5.0,9.0,Slightly delayed,2006-12-03,9,12
503,DFW,SJT,228.0,4,19,10,Autumn,2023-07-17 08:55:00,535,Morning,65.0,1000,MQ,7,3,10,21,1,1,9.0,9.0,Slightly delayed,2006-10-19,8,10
504,CMH,BOS,640.0,7,23,4,Spring,2023-07-17 17:58:00,1078,Afternoon,112.0,1950,MQ,2,6,8,9,1,1,36.0,55.0,Moderately delayed,2006-04-23,17,19
505,MCO,BDL,1050.0,7,16,4,Spring,2023-07-17 11:50:00,710,Morning,160.0,1430,WN,4,3,7,11,1,1,-2.0,-12.0,On-time,2006-04-16,11,14
506,SFO,SAN,447.0,2,30,5,Spring,2023-07-17 16:20:00,980,Afternoon,88.0,1748,UA,4,1,5,11,1,1,-3.0,-9.0,On-time,2006-05-30,16,17
507,ORD,DFW,802.0,6,27,5,Spring,2023-07-17 17:07:00,1027,Afternoon,144.0,1931,UA,11,7,18,10,4,1,-2.0,0.0,On-time,2006-05-27,17,19
508,PHX,MSP,1276.0,6,16,12,Winter,2023-07-17 13:09:00,789,Afternoon,185.0,1714,US,3,4,7,16,1,1,1.0,2.0,Slightly delayed,2006-12-16,13,17
509,MDW,LAS,1521.0,7,10,12,Winter,2023-07-17 09:20:00,560,Morning,245.0,1125,WN,5,4,9,10,1,1,-1.0,-20.0,On-time,2006-12-10,9,11
510,HNL,OGG,100.0,6,9,12,Winter,2023-07-17 14:30:00,870,Afternoon,35.0,1505,YV,6,2,8,13,1,1,-7.0,3.0,Slightly delayed,2006-12-09,14,15
511,LGA,ORD,733.0,4,22,6,Summer,2023-07-17 09:50:00,590,Morning,140.0,1110,UA,3,11,14,16,3,1,-5.0,14.0,Slightly delayed,2006-06-22,9,11
512,SLC,MSP,991.0,5,2,6,Summer,2023-07-17 10:10:00,610,Morning,155.0,1345,DL,4,4,8,9,1,1,-3.0,-15.0,On-time,2006-06-02,10,13
513,HNL,KOA,163.0,3,21,6,Summer,2023-07-17 05:30:00,330,Night,43.0,0613,HA,6,1,7,14,1,1,-4.0,-7.0,On-time,2006-06-21,5,6
514,DEN,TPA,1506.0,4,2,11,Autumn,2023-07-17 17:30:00,1050,Afternoon,205.0,2255,F9,6,3,9,15,1,1,-2.0,-16.0,On-time,2006-11-02,17,22
515,MSP,ORD,334.0,7,1,1,Winter,2023-07-17 10:30:00,630,Morning,84.0,1154,UA,4,11,15,13,1,2,4.0,8.0,Slightly delayed,2006-01-01,10,11
516,MEM,DFW,432.0,1,23,10,Autumn,2023-07-17 15:25:00,925,Afternoon,95.0,1700,AA,4,7,11,15,1,1,-2.0,-16.0,On-time,2006-10-23,15,17
517,EWR,OKC,1325.0,3,12,4,Spring,2023-07-17 08:35:00,515,Morning,225.0,1120,XE,3,4,7,15,2,1,-3.0,-15.0,On-time,2006-04-12,8,11
518,CMH,LAS,1772.0,2,18,4,Spring,2023-07-17 16:25:00,985,Afternoon,265.0,1750,WN,2,4,6,9,1,2,0.0,-5.0,On-time,2006-04-18,16,17
519,DFW,XNA,281.0,4,5,1,Winter,2023-07-17 13:07:00,787,Afternoon,68.0,1415,MQ,7,2,9,17,4,1,-2.0,0.0,On-time,2006-01-05,13,14
520,ATL,LAX,1946.0,6,2,12,Winter,2023-07-17 10:29:00,629,Morning,305.0,1234,FL,5,4,9,14,3,1,83.0,84.0,Excessively delayed,2006-12-02,10,12
521,LAX,IAD,2288.0,4,2,3,Spring,2023-07-17 22:45:00,1365,Evening,286.0,0631,AA,4,4,8,10,2,1,-4.0,-9.0,On-time,2006-03-02,22,6
522,SFO,SAN,447.0,3,20,9,Autumn,2023-07-17 12:20:00,740,Afternoon,90.0,1350,UA,4,1,5,13,1,1,-1.0,-13.0,On-time,2006-09-20,12,13
523,ORD,DCA,612.0,3,30,8,Summer,2023-07-17 18:00:00,1080,Evening,114.0,2054,AA,11,3,14,13,2,1,27.0,24.0,Moderately delayed,2006-08-30,18,20
524,MSP,PHX,1276.0,7,26,11,Autumn,2023-07-17 19:00:00,1140,Evening,214.0,2134,US,4,3,7,10,1,1,-11.0,-14.0,On-time,2006-11-26,19,21
525,RNO,LAS,345.0,2,18,4,Spring,2023-07-17 14:09:00,849,Afternoon,73.0,1522,US,3,4,7,9,1,2,-9.0,1.0,Slightly delayed,2006-04-18,14,15
526,ORD,LEX,323.0,5,24,3,Spring,2023-07-17 18:10:00,1090,Evening,84.0,2034,OO,11,2,13,11,2,1,67.0,55.0,Moderately delayed,2006-03-24,18,20
527,BOS,BGR,201.0,5,20,1,Winter,2023-07-17 10:45:00,645,Morning,62.0,1147,OH,6,1,7,24,1,1,0.0,-7.0,On-time,2006-01-20,10,11
528,HOU,DAL,239.0,2,24,10,Autumn,2023-07-17 21:00:00,1260,Evening,50.0,2150,WN,4,3,7,14,1,1,-5.0,-5.0,On-time,2006-10-24,21,21
529,SJU,FLL,1046.0,6,6,5,Spring,2023-07-17 17:33:00,1053,Afternoon,167.0,2020,AA,2,3,5,11,1,1,-9.0,-8.0,On-time,2006-05-06,17,20
530,EWR,DEN,1605.0,4,9,2,Winter,2023-07-17 09:05:00,545,Morning,273.0,1138,CO,3,6,9,12,1,1,3.0,23.0,Moderately delayed,2006-02-09,9,11
531,CLT,MCO,468.0,3,24,5,Spring,2023-07-17 07:55:00,475,Morning,93.0,0928,US,4,4,8,10,1,1,-2.0,-5.0,On-time,2006-05-24,7,9
532,IAH,DTW,1076.0,1,11,12,Winter,2023-07-17 07:20:00,440,Morning,170.0,1110,CO,5,6,11,13,1,2,12.0,15.0,Slightly delayed,2006-12-11,7,11
533,IAH,BRO,308.0,7,1,10,Autumn,2023-07-17 19:30:00,1170,Evening,76.0,2046,XE,5,3,8,12,1,1,27.0,17.0,Moderately delayed,2006-10-01,19,20
534,LIH,HNL,102.0,6,1,7,Summer,2023-07-17 16:00:00,960,Afternoon,29.0,1629,AQ,2,6,8,8,1,1,10.0,8.0,Slightly delayed,2006-07-01,16,16
535,RSW,DFW,1017.0,6,12,8,Summer,2023-07-17 08:08:00,488,Morning,167.0,0955,AA,1,7,8,12,1,3,-7.0,-27.0,On-time,2006-08-12,8,9
536,GRR,ORD,137.0,4,6,7,Summer,2023-07-17 20:04:00,1204,Evening,56.0,2000,MQ,3,11,14,13,1,2,-4.0,-1.0,On-time,2006-07-06,20,20
537,OAK,SAN,446.0,5,24,3,Spring,2023-07-17 19:20:00,1160,Evening,80.0,2040,WN,4,1,5,11,1,1,35.0,35.0,Moderately delayed,2006-03-24,19,20
538,LAS,DEN,629.0,5,20,1,Winter,2023-07-17 19:00:00,1140,Evening,111.0,2151,UA,4,6,10,24,2,5,6.0,-6.0,On-time,2006-01-20,19,21
539,BDL,ORD,783.0,1,21,8,Summer,2023-07-17 08:35:00,515,Morning,145.0,1000,UA,3,11,14,16,1,2,1.0,-2.0,On-time,2006-08-21,8,10
540,CVG,CMI,205.0,7,26,2,Winter,2023-07-17 21:00:00,1260,Evening,61.0,2101,OH,4,4,8,13,1,1,-4.0,-3.0,On-time,2006-02-26,21,21
541,CVG,EWR,569.0,7,21,5,Spring,2023-07-17 12:30:00,750,Afternoon,114.0,1424,OH,4,3,7,16,1,1,0.0,19.0,Moderately delayed,2006-05-21,12,14
542,ORD,DTW,235.0,2,9,5,Spring,2023-07-17 19:20:00,1160,Evening,73.0,2133,NW,11,6,17,14,2,1,-5.0,26.0,Moderately delayed,2006-05-09,19,21
543,BTR,DFW,383.0,2,31,1,Winter,2023-07-17 18:35:00,1115,Evening,87.0,2002,MQ,3,7,10,16,1,1,-4.0,-3.0,On-time,2006-01-31,18,20
544,ORD,DEN,888.0,5,24,2,Winter,2023-07-17 10:15:00,615,Morning,161.0,1156,UA,11,6,17,13,2,2,1.0,7.0,Slightly delayed,2006-02-24,10,11
545,EWR,PSE,1627.0,6,19,8,Summer,2023-07-17 23:40:00,1420,Evening,230.0,0330,CO,3,1,4,12,3,1,-2.0,-19.0,On-time,2006-08-19,23,3
546,CLT,JFK,541.0,2,17,1,Winter,2023-07-17 14:36:00,876,Afternoon,120.0,1636,OH,4,4,8,4,1,1,-6.0,-16.0,On-time,2006-01-17,14,16
547,TPA,DEN,1506.0,6,20,5,Spring,2023-07-17 16:15:00,975,Afternoon,220.0,1755,UA,3,6,9,12,1,2,-2.0,0.0,On-time,2006-05-20,16,17
548,LGA,DCA,214.0,7,1,1,Winter,2023-07-17 19:00:00,1140,Evening,74.0,2014,MQ,3,3,6,13,1,1,-4.0,-10.0,On-time,2006-01-01,19,20
549,DAL,HOU,239.0,1,20,11,Autumn,2023-07-17 18:30:00,1110,Evening,60.0,1930,WN,3,4,7,11,1,1,-1.0,-11.0,On-time,2006-11-20,18,19
550,BOS,DEN,1754.0,7,22,10,Autumn,2023-07-17 08:15:00,495,Morning,274.0,1049,UA,6,6,12,17,2,2,-2.0,-3.0,On-time,2006-10-22,8,10
551,PHF,ATL,508.0,3,21,6,Summer,2023-07-17 15:37:00,937,Afternoon,112.0,1729,EV,2,5,7,14,1,1,23.0,21.0,Moderately delayed,2006-06-21,15,17
552,CVG,XNA,561.0,5,23,6,Summer,2023-07-17 14:40:00,880,Afternoon,103.0,1523,OH,4,2,6,15,3,1,0.0,10.0,Slightly delayed,2006-06-23,14,15
553,MCI,MSP,393.0,4,27,7,Summer,2023-07-17 18:43:00,1123,Evening,85.0,2008,NW,3,4,7,14,2,2,-2.0,0.0,On-time,2006-07-27,18,20
554,CVG,ROC,461.0,2,14,2,Winter,2023-07-17 08:15:00,495,Morning,92.0,0947,OH,4,3,7,16,2,1,0.0,2.0,Slightly delayed,2006-02-14,8,9
555,MCO,BOS,1121.0,5,10,2,Winter,2023-07-17 17:30:00,1050,Afternoon,170.0,2020,B6,4,6,10,6,2,1,8.0,1.0,Slightly delayed,2006-02-10,17,20
556,TUS,ORD,1437.0,7,4,6,Summer,2023-07-17 12:41:00,761,Afternoon,203.0,1804,AA,3,11,14,9,1,2,-1.0,16.0,Moderately delayed,2006-06-04,12,18
557,SLC,SEA,689.0,1,20,2,Winter,2023-07-17 11:15:00,675,Morning,135.0,1230,WN,4,4,8,18,2,1,-3.0,-18.0,On-time,2006-02-20,11,12
558,IAH,SEA,1874.0,2,16,5,Spring,2023-07-17 20:59:00,1259,Evening,266.0,2325,CO,5,4,9,10,2,3,9.0,6.0,Slightly delayed,2006-05-16,20,23
559,DTW,MSP,528.0,6,15,4,Spring,2023-07-17 19:11:00,1151,Evening,121.0,2012,NW,6,4,10,11,1,2,8.0,9.0,Slightly delayed,2006-04-15,19,20
560,GSO,MCO,534.0,5,17,11,Autumn,2023-07-17 11:05:00,665,Morning,100.0,1245,OH,3,4,7,18,2,3,-10.0,-5.0,On-time,2006-11-17,11,12
561,BWI,MHT,377.0,2,25,7,Summer,2023-07-17 12:20:00,740,Afternoon,75.0,1335,WN,4,2,6,14,1,1,8.0,1.0,Slightly delayed,2006-07-25,12,13
562,TUS,SLC,601.0,3,25,10,Autumn,2023-07-17 08:00:00,480,Morning,107.0,1047,OO,3,4,7,15,1,2,155.0,144.0,Excessively delayed,2006-10-25,8,10
563,DFW,RNO,1345.0,2,20,6,Summer,2023-07-17 12:20:00,740,Afternoon,198.0,1338,AA,7,3,10,25,5,1,-1.0,-14.0,On-time,2006-06-20,12,13
564,DEN,CVG,1069.0,6,3,6,Summer,2023-07-17 10:45:00,645,Morning,157.0,1522,OH,6,4,10,12,1,1,0.0,-6.0,On-time,2006-06-03,10,15
565,RIC,ORD,642.0,4,13,4,Spring,2023-07-17 07:49:00,469,Morning,132.0,0901,UA,3,11,14,17,1,2,137.0,126.0,Excessively delayed,2006-04-13,7,9
566,SEA,DFW,1660.0,5,14,7,Summer,2023-07-17 06:37:00,397,Morning,224.0,1221,AA,4,7,11,20,1,1,3.0,-5.0,On-time,2006-07-14,6,12
567,PHX,SLC,507.0,2,19,12,Winter,2023-07-17 08:16:00,496,Morning,97.0,0953,US,3,4,7,11,2,1,0.0,-11.0,On-time,2006-12-19,8,9
568,ORD,MSP,334.0,2,1,8,Summer,2023-07-17 20:39:00,1239,Evening,82.0,2201,MQ,11,4,15,16,1,1,45.0,62.0,Excessively delayed,2006-08-01,20,22
569,CAK,ATL,528.0,4,20,7,Summer,2023-07-17 07:20:00,440,Morning,110.0,0910,OH,3,5,8,13,1,2,0.0,7.0,Slightly delayed,2006-07-20,7,9
570,IAH,DAY,929.0,3,1,3,Spring,2023-07-17 19:25:00,1165,Evening,150.0,2255,XE,5,3,8,14,1,1,-2.0,-4.0,On-time,2006-03-01,19,22
571,LAS,RNO,345.0,3,30,8,Summer,2023-07-17 09:35:00,575,Morning,75.0,1050,WN,4,3,7,13,2,1,-3.0,6.0,Slightly delayed,2006-08-30,9,10
572,DFW,SLC,988.0,3,5,7,Summer,2023-07-17 14:30:00,870,Afternoon,159.0,1609,DL,7,4,11,13,2,1,-4.0,1.0,Slightly delayed,2006-07-05,14,16
573,PHX,SLC,507.0,1,1,5,Spring,2023-07-17 07:15:00,435,Morning,97.0,0952,US,3,4,7,17,1,2,14.0,8.0,Slightly delayed,2006-05-01,7,9
574,PHX,SJC,621.0,1,13,3,Spring,2023-07-17 20:28:00,1228,Evening,115.0,2123,US,3,3,6,16,1,1,0.0,-2.0,On-time,2006-03-13,20,21
575,FAT,PHX,493.0,4,4,5,Spring,2023-07-17 18:35:00,1115,Evening,95.0,2010,YV,2,3,5,16,1,1,-7.0,-5.0,On-time,2006-05-04,18,20
576,LAS,BUR,223.0,4,24,8,Summer,2023-07-17 19:42:00,1182,Evening,63.0,2045,YV,4,2,6,16,1,1,13.0,11.0,Slightly delayed,2006-08-24,19,20
577,BWI,MCO,787.0,4,8,6,Summer,2023-07-17 12:24:00,744,Afternoon,129.0,1433,FL,4,4,8,14,1,2,-2.0,-9.0,On-time,2006-06-08,12,14
578,ORD,LSE,215.0,1,6,11,Autumn,2023-07-17 10:00:00,600,Morning,60.0,1100,MQ,11,3,14,11,2,1,-3.0,-2.0,On-time,2006-11-06,10,11
579,SBA,SLC,615.0,2,3,1,Winter,2023-07-17 16:20:00,980,Afternoon,110.0,1910,OO,3,4,7,12,1,1,-9.0,-15.0,On-time,2006-01-03,16,19
580,MDW,ATL,590.0,1,15,5,Spring,2023-07-17 19:31:00,1171,Evening,109.0,2220,FL,5,5,10,18,1,3,39.0,38.0,Moderately delayed,2006-05-15,19,22
581,ALB,ORD,723.0,2,31,1,Winter,2023-07-17 06:15:00,375,Morning,148.0,0743,MQ,2,11,13,16,1,4,-7.0,-6.0,On-time,2006-01-31,6,7
582,ORD,IAH,925.0,5,27,1,Winter,2023-07-17 17:15:00,1035,Afternoon,167.0,2002,UA,11,5,16,10,3,2,-1.0,16.0,Moderately delayed,2006-01-27,17,20
583,AUS,ATL,813.0,2,23,5,Spring,2023-07-17 14:12:00,852,Afternoon,136.0,1728,DL,2,5,7,11,1,2,-7.0,-12.0,On-time,2006-05-23,14,17
584,HNL,KOA,163.0,7,8,10,Autumn,2023-07-17 13:44:00,824,Afternoon,43.0,1427,HA,6,1,7,9,1,1,-6.0,-3.0,On-time,2006-10-08,13,14
585,DEN,LAX,862.0,7,3,9,Autumn,2023-07-17 19:57:00,1197,Evening,142.0,2119,AA,6,4,10,12,2,1,-10.0,4.0,Slightly delayed,2006-09-03,19,21
586,ORD,IAH,925.0,7,9,4,Spring,2023-07-17 12:15:00,735,Afternoon,162.0,1457,XE,11,5,16,13,4,2,5.0,-12.0,On-time,2006-04-09,12,14
587,LAS,PDX,762.0,4,18,5,Spring,2023-07-17 11:42:00,702,Morning,145.0,1407,US,4,3,7,14,1,1,35.0,25.0,Moderately delayed,2006-05-18,11,14
588,CAK,TPA,894.0,6,17,6,Summer,2023-07-17 10:33:00,633,Morning,135.0,1248,FL,3,3,6,11,2,1,-10.0,-17.0,On-time,2006-06-17,10,12
589,PHX,OAK,646.0,1,6,3,Spring,2023-07-17 13:45:00,825,Afternoon,125.0,1450,WN,3,4,7,17,2,2,4.0,-6.0,On-time,2006-03-06,13,14
590,MDW,OMA,423.0,7,16,4,Spring,2023-07-17 11:40:00,700,Morning,85.0,1305,WN,5,3,8,11,1,1,10.0,3.0,Slightly delayed,2006-04-16,11,13
591,CVG,AZO,225.0,5,13,10,Autumn,2023-07-17 09:20:00,560,Morning,61.0,1021,OH,4,3,7,15,2,1,-2.0,3.0,Slightly delayed,2006-10-13,9,10
592,SLC,FCA,532.0,4,12,10,Autumn,2023-07-17 10:15:00,615,Morning,100.0,1155,OO,4,3,7,11,1,1,3.0,10.0,Slightly delayed,2006-10-12,10,11
593,SEA,ORD,1721.0,2,7,11,Autumn,2023-07-17 23:20:00,1400,Evening,220.0,0500,UA,4,11,15,9,1,2,-9.0,-30.0,On-time,2006-11-07,23,5
594,DFW,LAX,1235.0,6,22,7,Summer,2023-07-17 21:26:00,1286,Evening,183.0,2229,AA,7,4,11,15,5,2,43.0,24.0,Moderately delayed,2006-07-22,21,22
595,IAD,MCO,758.0,7,26,3,Spring,2023-07-17 21:35:00,1295,Evening,135.0,2350,UA,4,4,8,9,1,1,-2.0,-20.0,On-time,2006-03-26,21,23
596,DAL,TUL,237.0,1,24,7,Summer,2023-07-17 16:20:00,980,Afternoon,55.0,1715,WN,3,3,6,15,1,1,-2.0,-7.0,On-time,2006-07-24,16,17
597,LIH,HNL,102.0,2,22,8,Summer,2023-07-17 14:43:00,883,Afternoon,29.0,1512,HA,2,6,8,20,1,1,-5.0,-9.0,On-time,2006-08-22,14,15
598,SNA,SEA,978.0,2,20,6,Summer,2023-07-17 16:21:00,981,Afternoon,153.0,1854,AS,2,4,6,25,1,1,-5.0,-1.0,On-time,2006-06-20,16,18
599,GPT,TPA,429.0,6,18,11,Autumn,2023-07-17 16:28:00,988,Afternoon,70.0,1838,FL,3,3,6,9,1,1,0.0,3.0,Slightly delayed,2006-11-18,16,18
600,STL,LAS,1372.0,6,16,9,Autumn,2023-07-17 08:10:00,490,Morning,215.0,0945,WN,4,4,8,11,1,3,-1.0,7.0,Slightly delayed,2006-09-16,8,9
601,LAS,PHX,256.0,4,7,12,Winter,2023-07-17 23:00:00,1380,Evening,70.0,0110,US,4,3,7,15,1,1,-4.0,1.0,Slightly delayed,2006-12-07,23,1
602,DFW,ABI,158.0,7,25,6,Summer,2023-07-17 20:40:00,1240,Evening,50.0,2130,MQ,7,3,10,14,1,1,-5.0,-6.0,On-time,2006-06-25,20,21
603,GSO,CLT,83.0,3,29,11,Autumn,2023-07-17 06:00:00,360,Morning,51.0,0651,YV,3,4,7,10,1,2,60.0,54.0,Moderately delayed,2006-11-29,6,6
604,BDL,FLL,1173.0,2,11,4,Spring,2023-07-17 08:20:00,500,Morning,193.0,1133,DL,3,3,6,12,1,1,-4.0,-31.0,On-time,2006-04-11,8,11
605,IAD,EWR,213.0,7,19,2,Winter,2023-07-17 17:00:00,1020,Afternoon,79.0,1819,XE,4,3,7,12,2,1,-6.0,63.0,Excessively delayed,2006-02-19,17,18
606,ELP,DEN,563.0,6,8,4,Spring,2023-07-17 13:00:00,780,Afternoon,105.0,1445,OO,3,6,9,13,2,2,-3.0,-15.0,On-time,2006-04-08,13,14
607,HOU,LAX,1390.0,3,5,7,Summer,2023-07-17 08:40:00,520,Morning,205.0,1005,WN,4,4,8,13,1,2,4.0,2.0,Slightly delayed,2006-07-05,8,10
608,BOS,ATL,946.0,3,22,11,Autumn,2023-07-17 13:30:00,810,Afternoon,176.0,1626,DL,6,5,11,15,1,5,0.0,-12.0,On-time,2006-11-22,13,16
609,BOS,DTW,632.0,2,18,7,Summer,2023-07-17 07:13:00,433,Morning,124.0,0917,NW,6,6,12,10,2,2,-8.0,18.0,Moderately delayed,2006-07-18,7,9
610,SEA,DEN,1024.0,7,17,12,Winter,2023-07-17 11:47:00,707,Morning,153.0,1520,AS,4,6,10,13,2,1,36.0,40.0,Moderately delayed,2006-12-17,11,15
611,ORD,BOS,867.0,2,2,5,Spring,2023-07-17 19:45:00,1185,Evening,136.0,2301,AA,11,6,17,12,1,1,37.0,66.0,Excessively delayed,2006-05-02,19,23
612,DFW,MDW,797.0,2,22,8,Summer,2023-07-17 07:40:00,460,Morning,125.0,0945,TZ,7,5,12,20,1,2,-10.0,0.0,On-time,2006-08-22,7,9
613,LAX,MCO,2217.0,3,18,10,Autumn,2023-07-17 07:55:00,475,Morning,285.0,1540,AA,4,4,8,12,1,1,-5.0,-17.0,On-time,2006-10-18,7,15
